<<<<<<< HEAD
encoded_language,average_rating,ratings_count,text_reviews_count
5,3.89,98,11
5,3.42,20888,1688
5,3.91,66,19
5,4.02,81,6
5,4.22,981,52
5,3.69,3381,141
5,3.68,53206,2376
5,3.78,14872,459
5,4.1,3261,58
5,3.98,7805,251
5,3.83,2699,142
5,3.78,61640,1951
5,3.78,392,41
5,3.75,778,44
5,3.85,963,65
4,3.66,2057,128
5,3.68,203,8
5,4.21,35,2
5,4.19,328,16
5,3.98,1308,82
5,3.92,6432,517
5,4.08,3015,217
5,3.83,318753,6734
4,3.83,420,42
5,3.83,5967,276
5,3.83,104,14
4,3.83,56,4
5,4.05,91,16
5,4.61,88,4
21,4.07,63,7
5,4.04,2815,164
5,3.6,95,13
5,3.44,217,24
21,4.02,4136,255
5,4.01,17232,649
5,3.92,251872,6241
4,3.87,10293,193
4,3.78,15970,438
5,3.97,6898,200
4,4.06,67803,1401
5,3.93,22091,746
5,4.14,2623,49
5,3.6,885,84
5,3.93,5,0
5,4.13,100,13
5,3.57,9358,995
5,3.78,9318,907
4,4.14,120,15
5,4.53,5239,76
5,3.92,1505,175
5,3.99,11857,564
5,3.43,393,55
5,3.43,1356,72
5,3.22,460,41
5,3.48,2492,145
5,3.64,3100,212
5,4.13,5296,587
5,3.96,1415,177
5,3.69,2161,230
5,4.01,762,213
5,4.07,8086,602
4,3.69,702,69
5,4.01,29764,2164
5,3.5,334,34
5,3.8,2473,220
4,3.89,2656,336
5,4.17,11889,738
5,3.8,2962,255
5,3.86,2842,292
5,4.21,26934,1825
4,3.81,2070,169
5,4.5,1564,108
5,3.87,23656,1706
5,3.89,43200,1873
5,3.79,12410,734
5,3.64,3672,195
5,3.89,2998,164
5,3.89,74,2
5,3.84,17977,1157
5,3.94,16099,503
4,3.9,361,36
5,3.23,6688,562
5,3.96,11744,443
5,3.77,2390,120
7,4.38,21,1
5,3.93,52522,2780
4,3.4,213,26
5,4.15,719,86
5,3.8,4762,512
5,3.91,62,4
5,4.39,278,20
5,4.01,2862,262
5,3.78,2829,334
5,3.93,105,5
5,4.13,102,2
5,3.77,478,12
4,4.03,1577,49
5,3.95,73,8
5,3.68,408,96
5,4.11,1693,100
5,4.14,1,0
3,3.81,6485,966
4,3.81,367,73
5,3.8,1371,43
4,3.98,793,28
4,3.8,549,42
16,3.85,288,31
5,3.81,26381,1109
5,3.73,62089,3324
5,3.51,474,19
5,3.77,166046,6446
5,4.08,1773,274
3,3.72,286,10
5,3.85,40,2
5,3.93,27,0
5,4.11,7300,266
5,4.11,211671,6245
5,4.13,2403,210
5,3.69,322483,14702
5,3.68,2750,108
4,3.87,1886,229
5,3.51,11462,467
5,3.63,110952,7277
5,3.91,23199,1086
5,3.88,3501,153
5,3.96,18,2
5,3.95,150,7
5,3.88,646,83
5,4.23,12180,630
5,3.62,51,5
4,3.09,1601,284
5,3.63,8854,672
5,3.55,17155,1841
5,3.77,44,3
4,3.59,234,11
5,3.77,33321,2925
3,3.59,8703,417
5,4.19,6375,179
21,3.97,7888,411
21,4.07,130,5
21,3.98,4508,278
5,3.99,397,47
21,3.6,5856,377
5,4.07,32569,1058
5,4.29,37,6
5,3.75,1,0
5,3.83,11,0
21,4.03,0,0
5,0.0,0,0
5,3.88,6870,237
5,4.25,83184,4249
7,4.1,5,0
4,4.26,19320,565
5,3.93,30872,1735
5,3.61,2465,137
4,3.25,4657,223
5,4.19,71042,2767
5,3.68,4731,270
4,4.2,1567,65
5,4.03,188100,6612
5,4.16,1474,30
5,4.24,1929,72
5,4.17,18602,1379
5,3.95,3702,149
5,4.17,265,31
3,4.27,51,7
5,3.86,920,76
5,3.86,1631221,55843
5,4.57,9013,153
5,4.56,16666,299
5,4.57,11451,161
5,4.5,111091,1427
5,4.55,10752,294
4,3.86,251,32
5,4.52,14923,419
5,3.82,26922,1726
5,3.6,1156,68
5,3.87,1755253,25554
4,3.74,20529,1592
5,4.02,142121,8782
5,3.83,30231,1130
5,4.11,280309,3703
5,4.11,1301083,19296
4,4.11,2122,256
5,4.08,145,8
5,4.11,4189,462
5,3.93,1556,158
5,3.44,9,2
5,3.41,59,7
5,4.7,22,4
5,3.89,2418736,21303
21,3.89,196,20
21,3.89,65,7
5,3.84,1679706,35877
5,3.84,1120,105
7,3.84,377,16
5,3.71,4919,410
5,3.71,3353,183
5,3.71,61,4
5,4.04,456,41
5,4.03,61760,2600
5,4.18,88897,2334
5,4.18,48,9
5,3.58,173,14
4,3.95,253,17
4,3.66,12748,948
5,4.26,76451,3400
5,4.26,86,15
5,4.21,9498,637
5,4.07,166916,6243
5,4.22,1299,30
5,3.62,31,5
5,3.98,200744,7656
5,3.93,26,2
5,3.74,190039,4922
5,3.74,811,77
5,4.07,297533,14935
5,3.78,72361,2334
5,4.51,11208,1237
5,3.75,28,1
4,3.74,3877,275
4,3.65,401,63
5,3.95,814,51
4,4.13,228,16
5,4.07,39,1
5,3.15,26,8
4,3.99,11178,623
5,3.67,3379,67
5,4.15,22843,936
5,3.31,13,1
5,4.08,8,2
5,3.96,14103,74
5,3.95,40125,217
5,4.09,8822,55
5,4.09,3697,34
5,4.06,1426,16
5,3.92,275,15
5,3.97,628745,13034
21,3.97,193,23
4,3.97,98,5
5,4.27,189,25
4,3.91,4318,668
7,3.91,177,26
5,3.49,102,8
5,3.65,206011,10821
4,3.56,43,6
4,3.41,201,24
4,4.05,873,40
5,4.14,5354,281
3,3.68,55,4
5,3.72,1820,147
5,3.55,132062,3303
4,3.62,18,1
5,3.55,43,3
4,3.76,82,13
5,4.05,184418,4432
5,4.05,495,67
5,4.26,85094,4155
5,0.0,0,0
5,4.18,60946,3167
5,4.42,21934,1629
5,4.07,16312,175
4,3.58,146,4
5,3.96,3002,198
5,3.9,3422,157
5,3.76,2138,125
5,4.0,53653,4702
4,3.78,14,2
5,3.91,85,6
4,4.1,226,20
5,3.92,29,6
5,3.92,236,22
5,4.47,14,0
5,4.5,26,4
5,4.06,154,4
5,4.35,18,1
5,3.85,28,7
3,3.95,8186,198
5,3.99,34727,597
5,3.99,227,18
4,3.99,2,0
5,3.99,271,41
4,3.99,143,17
4,3.99,40,5
4,3.99,132,10
4,3.99,36,6
5,3.86,288792,3423
4,3.86,1058,137
4,3.86,692,81
5,4.04,54939,380
5,3.86,1919,118
4,3.86,158,15
4,3.86,212,18
5,3.76,760871,6557
5,3.76,1713,179
5,3.76,1131,78
5,3.76,2543,167
5,3.76,262,24
5,4.35,69,6
16,4.22,414,10
5,4.13,67,7
5,3.8,259,15
5,3.94,55,0
5,4.5,578,25
5,4.5,62,6
5,4.02,609271,7139
5,4.44,8159,118
4,3.64,888,92
4,3.31,1204,79
4,3.7,22662,945
5,3.57,58917,2575
5,3.57,70760,2702
4,3.62,1415,68
5,3.7,132064,5452
5,4.02,1658,125
4,3.69,65,6
5,4.02,102,16
5,4.29,489,57
16,4.32,208,7
5,3.72,610,15
16,4.35,38,0
5,3.9,154,21
5,3.9,24,4
5,4.29,35,0
5,4.5,2,0
5,4.03,4483,56
5,4.21,3334,46
5,4.21,560,8
5,4.4,679,85
4,4.17,1464,21
5,4.0,541,15
5,4.31,790,12
5,4.03,9197,120
16,4.23,61,4
11,3.87,201,9
5,4.14,164,8
5,3.88,154,13
5,3.78,9,0
5,3.63,34,4
5,3.86,116,6
5,4.1,158,2
16,4.26,27,5
5,3.83,1950,95
16,4.47,30,4
5,3.87,367,35
5,4.04,23,1
5,4.2,5,0
16,4.03,29,2
16,4.07,25,3
5,4.03,12,1
5,4.43,46,7
4,4.02,712,53
5,4.1,389,26
5,4.02,77,7
5,4.02,28726,591
5,4.02,303,21
5,4.1,4303,62
4,4.02,215,25
5,4.02,12,3
5,4.1,74,7
5,4.03,31,3
5,4.02,63,8
3,4.1,12,2
5,4.02,89,8
5,4.1,1,0
5,4.14,5032,36
5,3.97,553,46
5,4.27,2883,40
5,3.97,45589,726
5,3.97,2979,288
4,3.97,109,7
4,3.97,52,3
5,4.14,135,9
5,3.94,13358,199
5,3.7,141555,1776
5,3.97,8,1
11,3.7,218,1
5,3.7,740,57
5,4.06,6086,79
5,3.94,96,8
5,4.21,1998,33
5,3.83,4,0
5,3.77,1,0
4,3.95,3833,120
5,3.42,23,1
5,3.75,13,2
11,4.07,69,10
5,3.94,391,27
5,4.03,14,2
11,4.21,58,4
5,2.8,5,0
5,4.07,14,3
5,3.85,19,2
5,3.6,262,13
5,3.85,30604,552
4,3.69,42,1
3,4.33,5,2
5,3.88,1054308,35537
5,3.64,4067,357
5,3.98,138101,2513
5,3.94,24985,1751
3,3.99,105507,3838
5,3.46,75,12
21,4.17,240,30
21,4.14,331,24
5,3.76,69,12
21,3.96,1279,77
21,3.76,1098,65
5,2.83,0,0
5,3.5,0,0
21,4.05,453,60
5,3.92,142,24
5,3.92,104,16
5,4.04,271,21
4,4.27,1643,97
5,4.03,2335,67
5,3.92,84,8
5,3.55,259,30
5,3.71,236,33
5,3.94,29,3
5,4.07,2488,266
21,4.07,11,0
5,4.05,710,64
5,4.05,48223,764
5,4.05,30,8
5,4.27,229,16
5,4.32,32,3
4,4.36,78,8
5,4.02,98,5
5,4.12,432,14
5,4.52,61,4
5,4.42,813,14
5,4.08,12,0
5,3.71,7,1
5,4.62,12,0
5,3.64,36,5
5,3.64,264,14
5,4.07,14,0
5,3.86,30,2
5,3.79,122,16
5,4.12,32,3
5,3.4,10,1
5,3.73,10,0
4,3.42,1416,217
4,4.06,2799,166
5,3.95,11990,831
5,3.61,10679,899
5,4.03,4356,404
5,3.87,633,60
5,3.98,800349,18198
5,3.92,55106,1503
5,4.26,73572,4280
5,4.01,20909,944
5,3.78,2456,115
5,3.86,274649,7203
5,4.17,4541,378
5,2.67,9,2
5,3.63,168362,5762
5,4.04,15,3
5,4.04,313,27
5,4.08,51,2
5,4.45,4244,99
5,4.26,2399,253
5,4.26,1821,210
5,4.26,1146,166
5,4.26,1628,171
5,4.0,7481,1022
5,3.71,330,40
5,4.17,351406,11701
5,4.01,1910,136
5,3.68,87570,2800
21,3.68,38,0
5,4.07,43,1
5,3.65,273,36
5,4.07,1479727,18458
5,4.07,1395,131
5,4.07,462,45
5,4.07,166,9
5,4.33,3124,87
5,4.07,83,9
5,3.84,131,28
5,3.84,1343,183
5,4.0,10,1
4,3.84,730,88
5,3.84,39,9
4,4.16,9718,216
5,4.21,1432,61
4,4.3,32,2
5,4.01,1235,146
5,3.99,355,17
4,3.85,4873,501
5,3.82,552,81
5,3.83,13212,394
5,3.71,4532,278
5,4.06,59,1
5,3.84,127,10
5,4.4,11515,139
5,3.58,78,9
5,4.57,1213,78
5,3.66,1625,85
5,3.81,6146,150
5,3.43,1485,76
3,2.67,3,1
4,3.8,3,1
5,3.85,76,6
5,3.75,3,0
3,3.77,56,4
11,5.0,0,0
5,3.86,7,1
5,4.47,1107,48
5,4.5,1324,66
5,4.45,241,11
5,4.08,13233,570
5,4.16,4952,162
5,4.01,103400,4076
5,4.22,26389,1619
5,3.6,983,130
5,3.82,214,31
5,3.97,250,12
5,4.22,10,2
5,3.89,10135,330
5,4.04,13563,235
5,3.83,2324,88
5,3.95,573,11
5,3.82,1555,63
4,3.61,21,3
5,3.92,515,37
5,4.14,4786,92
5,4.17,817,63
5,4.22,24035,828
5,4.15,29607,645
5,4.07,1682,51
5,4.29,1469,22
5,3.94,257,10
5,4.02,674,30
5,4.09,989,40
5,3.83,4774,178
5,4.31,51,5
5,4.13,371,12
4,3.96,429,39
5,3.94,317,14
5,3.87,271754,10063
5,4.24,69,6
4,3.1,31,2
4,4.23,1392,136
5,3.58,4462,446
5,3.91,14769,658
4,3.93,4254,355
5,4.17,13334,502
5,4.39,169,22
5,4.55,300,31
5,3.08,57720,3535
5,4.55,267,24
5,4.16,2278,69
5,4.14,441462,11308
5,3.79,1442,108
5,3.77,393,77
4,2.83,4,0
5,3.66,9373,606
5,3.62,378,31
5,3.83,105,7
5,3.69,3190,150
5,3.83,13499,388
4,3.8,5,1
5,4.0,540349,19548
5,4.28,133840,6118
5,4.06,282649,5325
5,3.5,20,5
5,4.14,275,28
5,4.05,2622,78
5,4.17,57,0
5,3.65,10,0
5,3.64,37,9
5,4.0,4797,124
5,4.16,144,10
5,4.07,197,7
5,3.77,123,13
5,3.62,55,7
5,4.1,2505,233
5,4.24,1874,114
5,3.9,336,26
4,4.14,39947,1622
4,4.15,156,13
5,3.72,35050,1833
5,3.67,360,26
5,4.12,71764,1937
5,4.2,3993,217
5,3.89,5658,699
5,3.58,585,78
4,3.74,623,68
5,3.8,10635,656
5,4.07,563,133
4,3.96,2769,200
3,4.07,1827,154
5,4.02,48,5
5,3.89,2842,182
5,4.3,446,29
5,4.25,55,9
5,4.22,67,9
5,3.95,749,62
5,4.08,41,9
5,3.69,40,12
5,3.93,3986,85
5,3.98,58,15
5,4.15,4689,171
4,4.38,237,3
5,3.98,4685,74
4,4.5,232,9
5,3.85,5526,225
5,4.05,8461,369
5,3.8,2737,161
5,4.01,3920,132
5,4.1,104,7
5,3.68,19,2
5,3.98,3460,482
5,4.12,23064,1191
4,4.06,1852,285
5,4.11,14739,1199
5,4.2,12178,1042
5,4.19,140014,1753
5,3.27,117,19
21,4.19,26,2
5,3.5,67,17
5,3.71,161,16
5,3.5,8858,885
5,3.5,1260,207
5,3.61,50,7
5,3.82,39,5
5,3.93,23,4
5,3.82,6,0
5,3.33,0,0
5,4.28,16,1
4,3.92,2790,159
5,3.96,12534,141
5,4.22,58408,1272
5,3.86,8879,693
5,3.57,38,6
11,3.0,1,1
5,4.03,33,1
4,3.76,259,30
5,3.89,3094,301
5,3.89,372,36
3,3.59,68,6
5,3.89,284,35
5,4.14,875,33
4,3.93,80,11
5,3.42,856,111
4,4.12,1338,113
4,4.34,8228,410
5,4.15,2594,403
5,4.11,107455,7778
5,4.29,799,107
5,3.89,11016,734
5,3.89,3331,242
5,3.92,6184,284
5,3.84,7649,548
4,3.8,308,30
5,4.02,3826,191
21,3.89,1295,106
21,3.8,1744,124
21,3.84,842,69
5,3.81,331,62
21,4.0,2862,306
5,4.42,1432,45
5,4.23,184293,5418
5,4.03,2094,104
5,3.63,488,39
5,3.63,5575,502
5,4.11,2732,105
5,5.0,1,0
5,3.93,1284,90
5,3.85,3832,178
5,4.0,54,4
5,3.89,125,13
5,4.11,942,59
5,3.97,633037,11898
4,3.98,4600,88
5,3.99,32079,752
5,3.77,14228,668
5,3.77,573,38
5,3.8,108,13
5,4.27,10524,898
5,4.27,697,180
4,4.27,271,34
5,4.02,66,4
5,4.05,13562,141
5,3.79,2161,50
5,4.67,3,0
5,3.59,85,12
5,4.28,25,4
5,4.63,27,3
5,4.22,198,7
5,3.49,168559,2365
5,3.49,257,22
6,3.49,792,59
5,3.8,73,5
5,4.02,84,4
5,3.61,70,6
5,3.49,36,5
6,4.18,7760,152
5,3.86,70,8
5,3.74,50335,3012
5,4.2,1178,173
5,3.52,4411,629
5,4.13,856,105
5,3.73,9344,995
5,4.29,9254,194
5,4.51,39,5
5,4.5,17,2
5,3.83,588,46
5,4.1,52028,2513
4,3.83,1397,128
5,3.88,442,38
5,3.0,2,0
5,4.16,6599,635
5,4.08,167321,4711
5,4.08,39,3
5,4.0,22,0
4,4.0,675,12
5,4.0,206,9
5,3.92,81,12
5,3.69,57011,3332
5,4.09,6368,321
4,4.1,717,112
5,3.93,448,18
5,3.76,3976,163
5,4.12,496,48
5,4.25,367,38
5,3.98,235,4
2,4.21,5236,506
5,4.04,388,23
4,4.01,843,42
5,3.98,32,0
4,3.98,10147,301
5,4.0,9,2
5,3.79,3664,58
5,3.79,3,0
4,4.0,1811,152
5,5.0,4,1
5,3.76,2018,294
5,4.27,99,27
5,4.25,1771,99
5,3.46,38,1
5,3.88,1162,127
5,3.94,29,4
5,3.36,10919,1113
5,3.58,20321,1214
5,3.66,26029,1588
8,3.58,6,1
3,3.64,42,0
5,4.42,19945,76
5,4.22,140403,1063
5,4.38,10356,79
5,4.36,8773,84
5,4.36,8948,86
13,4.43,227,38
13,4.39,452,13
13,4.43,400,11
5,3.25,3,1
5,4.02,1124,191
8,4.02,9674,343
5,3.57,24,3
5,3.68,6254,423
5,3.84,2061,104
13,4.22,41,3
7,4.22,54,4
5,3.67,114,17
5,3.93,1177,218
4,4.44,557,46
5,3.92,25,2
5,4.26,5437,830
4,4.01,76,12
5,3.67,209122,4131
5,3.67,1507,142
4,3.67,585,63
5,3.67,204,32
5,3.67,311,18
5,3.72,577,36
5,3.85,5,0
5,3.57,242,29
4,4.06,33,3
5,3.82,1049912,11391
5,3.82,144,17
5,3.82,687,37
5,3.82,185,18
5,4.2,970,53
5,3.86,513,71
5,4.28,5710,142
5,4.05,2871,209
5,4.39,207,10
5,3.92,11892,955
5,3.96,715,44
5,3.68,1817,123
5,4.13,764134,11796
5,4.13,1739,116
5,4.33,1653,76
3,4.13,517,13
5,4.2,238192,4392
5,3.8,23,7
5,4.3,150,23
5,4.32,5899,475
5,4.32,328,43
5,4.38,2579,301
5,4.14,1546,122
5,4.39,766,47
5,4.31,1797,166
5,3.91,65,9
5,4.45,22,0
4,4.45,495,30
4,4.36,213,10
4,3.9,39369,80
4,4.11,580,41
5,3.96,8624,409
4,4.22,712,51
4,3.89,8073,319
5,4.0,4,0
5,3.65,662,50
5,3.61,67,6
8,3.88,0,0
5,3.91,128596,3422
5,4.1,2450,113
5,3.51,6,0
5,3.48,1665,125
5,3.96,54765,1437
5,4.03,21997,1005
5,4.14,141,11
5,3.96,368,26
5,3.59,2699,336
5,3.97,3259,187
5,4.11,1864,117
5,4.21,1928,85
5,4.19,2050,76
5,4.25,8,0
5,4.33,254,35
5,4.16,14,4
5,4.16,8,1
7,4.33,69,10
5,4.08,21,0
5,4.26,112,7
5,4.09,139,6
4,3.0,19,0
5,4.17,114,11
5,3.74,34,5
11,4.57,14,0
5,3.77,100,9
5,3.89,4577,126
5,4.29,327,12
5,4.17,91395,8192
5,4.11,592,49
3,3.54,26,1
5,3.97,430,23
5,3.97,12839,375
5,3.97,10,1
21,3.77,1099,46
5,3.93,15345,1075
21,4.23,608,38
21,3.72,514,33
21,3.84,1189,51
5,3.71,17962,778
5,3.43,2359,146
8,4.33,9,0
5,4.02,13,1
5,4.08,382,85
5,4.0,768,96
5,3.17,191,26
5,3.91,970,104
5,3.78,2046,248
5,3.87,51,2
5,3.85,3457,329
5,3.91,127,25
5,0.0,0,0
21,4.47,142,12
5,4.27,856,146
4,4.25,7736,641
5,3.62,15798,612
5,3.98,62954,1791
5,3.4,1084,131
4,3.72,1170,117
5,3.95,138,29
5,4.19,99,16
5,4.23,533,66
5,4.37,5991,120
5,4.25,5423,157
5,3.52,1182,175
4,3.67,39,7
5,3.95,3478,191
5,4.29,4291,119
5,4.11,311,49
5,4.3,9623,199
5,3.81,153,17
5,3.69,24,2
5,3.93,520051,16562
5,3.88,16588,1606
5,3.88,6124,754
5,3.88,34,6
5,3.29,981,69
5,3.95,7763,362
5,3.91,10384,637
5,3.78,14655,1211
5,3.45,945,61
5,4.11,154933,3141
5,4.03,125693,3229
5,3.8,68228,2425
5,4.03,36784,2658
5,3.99,126629,5295
21,4.15,31,3
4,3.84,1596,157
3,3.96,2755,218
5,4.17,555995,10173
5,3.7,37936,1192
5,3.96,201488,3496
5,3.98,1967,66
5,3.71,32370,4212
5,4.03,82,9
4,3.52,790,99
5,4.15,81381,1925
5,3.86,2792,73
4,4.08,317,33
5,3.85,51,7
5,3.77,41,7
5,3.54,56,7
5,3.43,26,5
5,4.06,612,8
4,4.59,641,63
5,4.09,715,18
5,4.08,364,21
5,3.78,5856,310
4,3.41,910,74
5,3.73,13,2
5,3.5,4,0
5,3.89,118,9
5,4.1,38411,1366
5,4.24,184,22
4,3.83,928,27
5,4.23,63,8
5,3.88,3760,248
5,4.43,98611,1447
5,3.9,6082,188
5,4.47,24087,554
5,4.64,1411,54
5,4.53,2203,32
5,4.22,2037,71
5,3.96,18,4
5,4.26,29,6
5,4.0,7,2
5,4.18,119,8
5,4.33,2184,87
5,3.5,12,1
3,3.77,114,15
5,3.77,925,92
4,3.38,948,27
5,4.26,5044,316
5,4.13,1585589,56604
5,3.83,2201,218
5,4.11,1760,135
5,3.56,1426,201
5,3.42,406,64
5,3.17,481,58
5,3.51,19308,1803
5,3.51,586,103
5,3.71,3202,278
5,3.66,387,29
5,3.65,583,60
5,3.66,974,81
5,3.61,33,3
5,3.73,53736,3657
5,3.79,189652,8207
4,3.37,130,16
5,3.96,208684,3358
5,3.94,31134,2662
4,4.11,170,21
5,4.17,1122,69
5,4.0,25490,1585
5,3.99,21842,891
5,3.46,2064,220
5,3.6,1139,70
5,3.97,37620,2298
5,3.98,295,22
5,3.77,1322,109
5,3.73,2910,220
5,3.16,9541,576
5,3.77,102370,5677
5,3.57,18210,629
5,4.04,424,13
5,3.77,12,3
5,4.2,1031,72
5,4.18,348,16
5,3.62,545,53
5,3.55,644,26
5,3.84,1360,52
5,3.8,1,0
5,3.74,15204,780
5,4.31,55,13
5,3.98,0,0
5,3.73,48961,2823
5,3.8,16055,639
5,3.96,14108,428
5,3.55,5074,211
5,3.8,572,43
3,3.92,1361,77
5,3.91,25,5
5,3.68,426,42
5,4.07,210,26
5,4.02,4461,158
5,4.0,1351,32
4,3.64,430,33
5,3.98,1059,38
5,4.27,913,66
5,3.95,377,54
5,4.01,1410,73
5,3.97,516,77
5,3.82,9,5
5,3.79,133237,7468
4,3.93,1094,87
5,3.91,6736,297
5,3.68,64,16
5,3.75,369,16
5,3.71,247,18
5,3.92,9847,516
5,3.81,10651,711
5,3.94,9258,330
5,3.99,8045,265
5,3.82,39,4
5,4.02,10304,374
5,3.93,495,76
5,3.93,26375,953
5,4.0,13801,335
5,3.68,3793,286
5,3.87,4956,705
5,3.87,160911,4087
4,3.87,71,5
5,3.87,393,40
5,3.87,275,14
5,3.61,21,2
5,4.0,41,11
5,4.19,1869,46
5,3.86,732,71
5,4.18,2025,41
5,4.13,3567,62
5,3.55,6214,270
5,3.53,15315,1101
5,4.01,292,35
5,3.92,110082,9777
5,4.17,239652,5860
5,4.21,352,37
4,4.03,1604,153
5,3.76,14820,1686
5,3.87,38915,1087
5,3.82,302,69
5,4.07,1816,22
5,4.15,28789,177
5,3.51,240,46
5,3.86,807,95
5,3.73,4,0
21,2.88,6,0
5,3.45,2168,233
21,4.24,174,14
5,4.2,237,15
5,3.45,232,9
8,4.42,141,11
7,4.2,21,1
7,4.17,29,1
5,3.94,13300,484
5,4.03,21973,905
5,4.07,31711,3317
5,3.75,953,61
5,3.84,734,44
5,4.17,38357,1111
5,3.6,6253,488
5,4.18,165862,9143
5,3.46,1097,105
5,4.25,1101,58
5,3.31,16483,685
5,3.61,47673,2046
5,4.19,112779,2897
5,3.94,50,6
5,3.82,844,76
5,3.7,24618,738
5,4.06,32337,272
5,3.6,4213,735
4,3.59,12,1
5,3.99,4372,81
4,3.79,141,5
4,4.08,38,4
5,4.36,282127,13449
5,4.36,391,44
5,4.1,3958,172
4,3.79,143,20
5,4.31,12563,699
4,3.96,840,63
5,3.93,832,118
5,4.42,62,4
5,3.92,36,1
4,3.9,1782,197
5,3.83,608,78
5,3.99,53749,509
5,3.88,37258,1401
5,3.68,6490,463
3,3.89,518,61
5,3.7,82,17
5,3.91,21,4
5,4.16,216,25
5,4.01,5642,265
5,3.77,4202,406
5,3.77,81,11
3,3.77,1265,142
8,3.93,6,0
4,2.98,34,2
4,3.84,3645,407
4,3.89,1192,143
5,3.71,60,8
4,3.83,710,22
5,3.84,13934,1459
5,3.84,91,16
21,3.84,3276,190
4,3.64,533,50
5,4.56,3141,140
5,3.88,2636,302
5,3.73,6828,621
5,3.56,10066,341
5,3.68,393,4
5,3.74,28830,1069
4,3.94,827,101
5,3.8,825,73
5,3.59,450,63
5,3.73,5723,695
5,5.0,2,0
3,3.82,900,48
4,4.11,327,46
7,3.82,975,62
1,3.55,122,12
5,3.91,70043,3881
5,4.02,327,7
5,3.97,98,2
5,3.9,1313,28
5,4.0,339,9
4,4.01,2218,172
5,3.96,7205,825
5,4.23,13108,795
4,3.62,1291,100
5,4.21,3472,30
3,3.53,57,14
4,4.0,27,7
5,4.29,1505,119
5,4.12,643,61
5,3.93,9024,637
4,3.96,4820,524
5,4.14,3534,320
5,4.35,26524,2609
5,3.99,483,146
21,3.78,4694,133
5,4.0,838,51
5,3.96,7044,639
5,3.81,30,5
5,3.96,37,8
5,4.11,1211,169
5,3.8,1876,244
5,4.11,383045,15962
5,4.37,3942,396
5,3.98,99,15
5,4.37,83,18
5,4.18,679,116
4,3.22,9,0
4,4.07,7981,307
5,3.56,175,9
5,4.03,1158,91
3,3.72,667,70
2,3.98,6256,459
4,4.05,1314,98
5,4.36,5906,140
5,4.23,1073,97
5,4.26,33828,2237
4,3.91,109,13
5,3.57,965,49
4,3.49,1104,34
21,3.77,5119,217
5,3.9,3690,518
21,3.7,3602,325
5,4.26,1278,175
5,3.77,180,10
5,3.57,308,30
5,3.98,60,9
5,3.95,2045,230
5,3.9,1764,191
5,3.9,5210,522
5,3.98,335477,19241
5,4.04,20695,714
4,3.86,63,3
5,3.83,272,23
5,4.09,11095,880
5,4.2,28925,527
5,4.24,348,33
